ldap-b-d04.ucl.ac.uk.ldaps	ltm-d05-00-a.isd-adc.ucl.ac.uk	7200
ldap-b-d04.ucl.ac.uk.ldaps	ltm-d05-00-b.isd-adc.ucl.ac.uk	7201
ldap-b-d04.ucl.ac.uk.5666	nagios-b-d04.ucl-0.ucl.ac.uk	1557
ldap-b-d04.ucl.ac.uk.ldaps	nagios-b-d04.ucl-0.ucl.ac.uk	6
ldap-b-d04.ucl.ac.uk.ssh	nagios-b-d04.ucl-0.ucl.ac.uk	119
ldap-c-d05.ucl.ac.uk.ldaps	ud-emputil01.ad.ucl.ac.uk	3
ldap-c-d05.ucl.ac.uk.ldaps	vm-belfast.ee.ucl.ac.uk	26
ldap-c-d05.ucl.ac.uk.ldap	ltm-d04-00-a.isd-adc.ucl.ac.uk	7200
ldap-c-d05.ucl.ac.uk.ldap	ltm-d04-00-b.isd-adc.ucl.ac.uk	7200
ldap-c-d05.ucl.ac.uk.ldaps	ltm-d04-00-a.isd-adc.ucl.ac.uk	7200
ldap-c-d05.ucl.ac.uk.ldaps	ltm-d04-00-b.isd-adc.ucl.ac.uk	7200
ldap-c-d05.ucl.ac.uk.ldaps	ldap-pp-a-d04.isdapp.ucl.ac.uk	78
ldap-c-d05.ucl.ac.uk.ldaps	mailman-pp-a-d05.isdapp.ucl.ac.uk	81
ldap-c-d05.ucl.ac.uk.ldaps	cas-a-d05.ucl.ac.uk	3
ldap-c-d05.ucl.ac.uk.ldaps	cso-a-d04.ucl.ac.uk	84
ldap-c-d05.ucl.ac.uk.ldaps	ldap-a-d04.ucl.ac.uk	91
ldap-c-d05.ucl.ac.uk.ldaps	ldap-b-d04.ucl.ac.uk	85
ldap-c-d05.ucl.ac.uk.ldaps	mailman-a-d05.ucl.ac.uk	30
ldap-c-d05.ucl.ac.uk.ldaps	wwwapps-a-d05.ucl.ac.uk	61
ldap-c-d05.ucl.ac.uk.ldaps	wwwapps-uat-a-d05.ucl.ac.uk	71
ldap-c-d05.ucl.ac.uk.ldaps	wwwcm-dev.ucl.ac.uk	180
ldap-c-d05.ucl.ac.uk.ldaps	wwwdis-a-d04.ucl.ac.uk	1418
ldap-c-d05.ucl.ac.uk.ldaps	wwwt-a-d04.ucl.ac.uk	70
ldap-c-d05.ucl.ac.uk.ldaps	wwwt-b-d05.ucl.ac.uk	61
ldap-c-d05.ucl.ac.uk.ldaps	wwwt-pp-a-d04.ucl.ac.uk	239
ldap-c-d05.ucl.ac.uk.ldaps	wwwt-pp-b-d05.ucl.ac.uk	211
ldap-c-d05.ucl.ac.uk.ldaps	www-webdocs-a-d04.ucl.ac.uk	179
